channel 5, range 120, amp 510, level 7, msec 1540979392368, tick 417838
channel 5, range 120, amp 509, level 7, msec 1540979392368, tick 417843
channel 5, range 120, amp 509, level 7, msec 1540979392368, tick 417849
channel 5, range 120, amp 508, level 7, msec 1540979392368, tick 417855
channel 5, range 120, amp 509, level 7, msec 1540979392368, tick 417860
channel 6, range 124, amp 741, level 7, msec 1540979392370, tick 419622
channel 5, range 120, amp 511, level 7, msec 1540979392373, tick 417866
channel 6, range 124, amp 740, level 7, msec 1540979392376, tick 419627
channel 5, range 121, amp 507, level 7, msec 1540979392379, tick 417871
channel 3, range 147, amp 642, level 7, msec 1540979392379, tick 419022
channel 6, range 124, amp 739, level 7, msec 1540979392381, tick 419633
channel 5, range 120, amp 507, level 7, msec 1540979392384, tick 417877
channel 6, range 124, amp 741, level 7, msec 1540979392387, tick 419638
channel 5, range 121, amp 510, level 7, msec 1540979392388, tick 417882
channel 6, range 124, amp 738, level 7, msec 1540979392394, tick 419644
channel 5, range 120, amp 509, level 7, msec 1540979392394, tick 417888
channel 6, range 124, amp 739, level 7, msec 1540979392397, tick 419649
channel 5, range 121, amp 508, level 7, msec 1540979392402, tick 417893
channel 6, range 124, amp 735, level 7, msec 1540979392403, tick 419655
channel 5, range 120, amp 509, level 7, msec 1540979392406, tick 417899
channel 6, range 124, amp 741, level 7, msec 1540979392408, tick 419660
channel 6, range 124, amp 740, level 7, msec 1540979392417, tick 419666
channel 5, range 121, amp 508, level 7, msec 1540979392417, tick 417904
channel 5, range 120, amp 509, level 7, msec 1540979392419, tick 417910
channel 6, range 124, amp 741, level 7, msec 1540979392419, tick 419672
channel 6, range 124, amp 742, level 7, msec 1540979392426, tick 419677
channel 5, range 120, amp 509, level 7, msec 1540979392426, tick 417916
channel 5, range 121, amp 510, level 7, msec 1540979392429, tick 417921
channel 6, range 124, amp 741, level 7, msec 1540979392431, tick 419683
channel 5, range 120, amp 509, level 7, msec 1540979392433, tick 417927
channel 6, range 124, amp 735, level 7, msec 1540979392437, tick 419688
channel 5, range 120, amp 510, level 7, msec 1540979392439, tick 417932
channel 6, range 124, amp 741, level 7, msec 1540979392442, tick 419694
channel 5, range 120, amp 510, level 7, msec 1540979392444, tick 417938
channel 6, range 125, amp 740, level 7, msec 1540979392448, tick 419699
channel 5, range 120, amp 509, level 7, msec 1540979392451, tick 417943
channel 6, range 124, amp 740, level 7, msec 1540979392453, tick 419705
channel 5, range 120, amp 510, level 7, msec 1540979392455, tick 417949
channel 6, range 124, amp 742, level 7, msec 1540979392458, tick 419710
channel 5, range 120, amp 510, level 7, msec 1540979392461, tick 417954
channel 6, range 125, amp 739, level 7, msec 1540979392464, tick 419716
channel 5, range 120, amp 510, level 7, msec 1540979392467, tick 417960
channel 6, range 124, amp 740, level 7, msec 1540979392469, tick 419721
channel 5, range 120, amp 509, level 7, msec 1540979392472, tick 417965
channel 6, range 125, amp 740, level 7, msec 1540979392475, tick 419727
channel 5, range 120, amp 508, level 7, msec 1540979392477, tick 417971
channel 6, range 124, amp 741, level 7, msec 1540979392480, tick 419732
channel 5, range 120, amp 511, level 7, msec 1540979392483, tick 417977
channel 5, range 120, amp 509, level 7, msec 1540979392516, tick 417982
channel 5, range 120, amp 508, level 7, msec 1540979392516, tick 417988
channel 5, range 120, amp 510, level 7, msec 1540979392516, tick 417993
channel 5, range 121, amp 509, level 7, msec 1540979392516, tick 417999
channel 5, range 120, amp 510, level 7, msec 1540979392516, tick 418004
channel 5, range 120, amp 510, level 7, msec 1540979392516, tick 418010
channel 6, range 123, amp 740, level 7, msec 1540979392517, tick 419738
channel 6, range 124, amp 741, level 7, msec 1540979392517, tick 419744
channel 6, range 124, amp 736, level 7, msec 1540979392517, tick 419749
channel 6, range 124, amp 740, level 7, msec 1540979392517, tick 419755
channel 6, range 124, amp 740, level 7, msec 1540979392517, tick 419760
channel 6, range 124, amp 741, level 7, msec 1540979392517, tick 419766
channel 6, range 123, amp 739, level 7, msec 1540979392519, tick 419771
channel 5, range 121, amp 510, level 7, msec 1540979392522, tick 418015
channel 6, range 124, amp 740, level 7, msec 1540979392556, tick 419777
channel 6, range 124, amp 737, level 7, msec 1540979392556, tick 419782
channel 6, range 124, amp 740, level 7, msec 1540979392556, tick 419788
channel 6, range 125, amp 736, level 7, msec 1540979392556, tick 419793
channel 5, range 121, amp 510, level 7, msec 1540979392556, tick 418021
