channel 8, range 141, amp 677, level 7, msec 1540981195768, tick 2227124
channel 9, range 144, amp 636, level 8, msec 1540981195755, tick 12517487
channel 9, range 144, amp 633, level 8, msec 1540981195762, tick 12517493
channel 9, range 144, amp 636, level 8, msec 1540981195768, tick 12517500
channel 8, range 143, amp 676, level 7, msec 1540981195773, tick 2227129
channel 8, range 141, amp 684, level 7, msec 1540981195779, tick 2227135
channel 9, range 144, amp 633, level 8, msec 1540981195774, tick 12517506
channel 9, range 143, amp 635, level 8, msec 1540981195781, tick 12517513
channel 8, range 141, amp 672, level 7, msec 1540981195784, tick 2227141
channel 9, range 144, amp 634, level 8, msec 1540981195787, tick 12517519
channel 8, range 143, amp 672, level 7, msec 1540981195790, tick 2227146
channel 8, range 141, amp 674, level 7, msec 1540981195795, tick 2227152
channel 9, range 143, amp 634, level 8, msec 1540981195794, tick 12517525
channel 9, range 144, amp 630, level 8, msec 1540981195800, tick 12517532
channel 8, range 143, amp 672, level 7, msec 1540981195802, tick 2227157
channel 8, range 145, amp 683, level 7, msec 1540981195808, tick 2227163
channel 8, range 143, amp 674, level 7, msec 1540981195812, tick 2227168
channel 9, range 144, amp 631, level 8, msec 1540981195806, tick 12517538
channel 9, range 144, amp 635, level 8, msec 1540981195813, tick 12517545
channel 8, range 146, amp 666, level 7, msec 1540981195818, tick 2227174
channel 9, range 144, amp 631, level 8, msec 1540981195819, tick 12517551
channel 8, range 141, amp 674, level 7, msec 1540981195828, tick 2227179
channel 8, range 144, amp 676, level 7, msec 1540981195829, tick 2227185
channel 8, range 141, amp 673, level 7, msec 1540981195834, tick 2227190
channel 9, range 144, amp 635, level 8, msec 1540981195826, tick 12517557
channel 9, range 144, amp 632, level 8, msec 1540981195832, tick 12517564
channel 8, range 146, amp 669, level 7, msec 1540981195840, tick 2227196
channel 8, range 141, amp 674, level 7, msec 1540981195845, tick 2227202
channel 9, range 143, amp 635, level 8, msec 1540981195838, tick 12517570
channel 8, range 141, amp 693, level 7, msec 1540981195851, tick 2227207
channel 8, range 141, amp 674, level 7, msec 1540981195856, tick 2227213
channel 9, range 143, amp 632, level 8, msec 1540981195844, tick 12517576
channel 9, range 143, amp 633, level 8, msec 1540981195851, tick 12517583
channel 8, range 141, amp 661, level 7, msec 1540981195862, tick 2227218
