num, id,      sn,       name,	   cpuUsage,	   diskUsage,	   memoryUsage,	   tofReboot, GW02Reboot, ForwardReboot(N/A), skuPreReboot(N/A),	   rebootTimes,	   skuTimes,     status,  offlineTimes,      fromTime,            toTime,        onlineTime(m),  offlineTime(m),   tofConflictNum,      index
014, 14, d88039a3c2c2, GWSL-014,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
015, 15, 5410ec33a336, GWSL-015,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
016, 16, 5410ec3383f6, GWSL-016,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
017, 17, 5410ec336861, GWSL-017,        0,        0,        0,        0,        0,           0,              0,        0,        0,    online,       0,    2018-11-19 23:00,    2018-11-20 09:00,        600,            0,0,                N/A
018, 18, 5410ec33bb64, GWSL-018,        0,        0,        0,        0,        0,           0,              0,        0,        0,    online,       0,    2018-11-19 23:00,    2018-11-20 09:00,        600,            0,0,                N/A
019, 19, 5410ec337f8e, GWSL-019,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
020, 20, cc4b731d36e2, GWSL-020,        0,        0,        0,        0,        0,           0,              0,        0,     1145,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
021, 21, 230183310001, CDSC-021,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
022, 22, 230183310013, CDSC-022,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
023, 23, cc4b731d4436, GWSL-023,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
024, 24, 230183730002, CDSC-024,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
025, 25, cc4b731d863c, GWSL-025,        0,        0,        0,        0,        0,           0,              0,        0,      784,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
026, 26, 5410ec33be53, GWSL-026,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
027, 27, 230183510048, CDSC-027,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
028, 30, cc4b731d44a2, GWSL-030,        0,        0,        0,        0,        0,           0,              0,        0,       86,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
029, 34, 230183330049, CDSC-034,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
030, 29, ac83f35a3458, GWSL-029,        0,        0,        0,        0,        0,           0,              0,        0,      928,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
031, 28, cc4b731d29c4, GWSL-028,        0,        0,        0,        0,        0,           0,              0,        0,      854,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
032, 31, cc4b731d8410, GWSL-031,        0,        0,        0,        0,        0,           0,              0,        0,      498,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
033, 32, b0f1ec980ce0, GWSL-032,        0,        0,        0,        0,        0,           0,              0,        0,      817,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
034, 33, 230183330040, CDSC-033,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
035, 36, 230183310012, CDSC-036,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
036, 35, 230183310010, CDSC-035,        0,        0,        0,        0,        0,           0,              0,        0,        0,    online,       0,    2018-11-19 23:00,    2018-11-20 09:00,        600,            0,0,                N/A
037, 37, 230183330057, CDSC-037,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
038, 38, 5410ec33d625, GWSL-038,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
039, 39, 5410ec33a33e, GWSL-039,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
040, 40, 5410ec338352, GWSL-040,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
041, 41, 5410ec3366f9, GWSL-041,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
042, 42, 230184340002, CDSC-042,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
